排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
186,黑天鹅,2010,美国,剧情惊悚,达伦·阿罗诺夫斯基,娜塔莉·波特曼...,黑暗之美。,8.6,707564人评价,0,1
187,冰川时代,2002,美国,喜剧动画冒险,卡洛斯·沙尔丹哈/克里斯·韦奇主演...,,松鼠才是角儿。,8.6,535440人评价,0,1
188,你看起来好像很好吃,2010,日本,剧情动画儿童,藤森雅也,山口胜平/爱河...,感情不分食草或者食肉。,8.9,290540人评价,0,1
189,萤火虫之墓,1988,日本,动画剧情战争,高畑勋,辰己努/白石绫乃/志乃原良子,幸福是生生不息，却难以触及的远。 ,8.7,365160人评价,0,1
190,疯狂的石头,2006,中国大陆中国香港,喜剧犯罪,宁浩,郭涛/刘桦/连晋,中国版《两杆大烟枪》。,8.5,695999人评价,0,1
191,雨人,1988,美国,剧情,巴瑞·莱文森,达斯汀·霍夫曼...,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,355290人评价,0,1
192,雨中曲,1952,美国,喜剧歌舞爱情,斯坦利·多南/吉恩·凯利,吉恩·...,骨灰级歌舞片。,9.1,181277人评价,0,0
193,恐怖游轮,2009,英国澳大利亚,剧情悬疑惊悚,克里斯托弗·史密斯,梅利莎·乔治...,不要企图在重复中寻找已经失去的爱。,8.5,692906人评价,0,0
194,色，戒,2007,中国台湾中国大陆美国中国香港,剧情爱情情色,李安,梁朝伟/汤唯/...,假戏真情，爱欲深海,8.5,618876人评价,0,1
195,恋恋笔记本,2004,美国,剧情爱情,尼克·卡索维茨,瑞恩·高斯林/...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.6,569992人评价,0,1
196,魔女宅急便,1989,日本,动画奇幻冒险,宫崎骏,高山南/佐久间玲...,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.7,394893人评价,0,1
197,2001太空漫游,1968,英国美国,科幻惊悚冒险,斯坦利·库布里克,凯尔·杜拉/...,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.8,260261人评价,0,1
198,城市之光,1931,美国,喜剧剧情爱情,,查理·卓别林/弗吉尼亚·...,永远的小人物，伟大的卓别林。,9.3,118727人评价,0,0
199,可可西里,2004,中国大陆中国香港,剧情犯罪,陆川,多布杰/张磊/亓亮...,坚硬的信仰。,8.8,257032人评价,0,1
200,二十二,2015,中国大陆,纪录片,郭柯,,有一些东西不应该被遗忘。,8.7,261468人评价,0,0
201,虎口脱险,1966,法国英国,喜剧战争,杰拉尔·乌里é,路易·德·菲耐斯è...,永远看不腻的喜剧。,8.9,211366人评价,0,1
202,人工智能,2001,美国英国,剧情科幻,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙...,对爱的执着，可以超越一切。,8.7,380253人评价,0,1
